frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,lost_count
80,000080.png,right,ok,tracking,2130,0.577778,2130,2130,20,19.728946,2.78845199954,-191.305233571,0
80,000080.png,center,ok,from_left_right,,,,,20,,,,
81,000081.png,left,ok,tracking,1958,0.416667,1958,1958,21,164.963829,-3.72264870848,1002.50519602,0
81,000081.png,right,ok,tracking,2114,0.577778,2114,2114,20,19.801344,2.77740238451,-188.181584033,0
81,000081.png,center,ok,from_left_right,,,,,20,,,,
82,000082.png,left,rejected_side_geometry,tracking,1967,0.416667,0,0,0,165.078898,-3.75271365021,1008.88463206,6
82,000082.png,right,ok,tracking,2127,0.577778,2127,2127,21,19.934222,2.75732269597,-183.713552415,0
82,000082.png,center,not_published,from_left_right,,,,,0,,,,
83,000083.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
83,000083.png,right,ok,tracking,2099,0.577778,2099,2099,20,19.972819,2.75153811432,-180.714742011,0
83,000083.png,center,not_published,from_left_right,,,,,0,,,,
84,000084.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
84,000084.png,right,ok,tracking,2090,0.577778,2090,2090,20,20.036244,2.74207912758,-177.90862501,0
84,000084.png,center,not_published,from_left_right,,,,,0,,,,
85,000085.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
85,000085.png,right,ok,tracking,2089,0.572222,2089,2089,21,20.018397,2.74473493257,-177.294003834,0
85,000085.png,center,not_published,from_left_right,,,,,0,,,,
86,000086.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
86,000086.png,right,ok,tracking,2079,0.572222,2079,2079,20,20.031486,2.74278673364,-176.625224982,0
86,000086.png,center,not_published,from_left_right,,,,,0,,,,
87,000087.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
87,000087.png,right,ok,tracking,2079,0.572222,2079,2079,20,20.059276,2.73865833784,-175.651098701,0
87,000087.png,center,not_published,from_left_right,,,,,0,,,,
88,000088.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
88,000088.png,right,ok,tracking,2079,0.572222,2079,2079,20,20.149056,2.72539575664,-171.978228087,0
88,000088.png,center,not_published,from_left_right,,,,,0,,,,
89,000089.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
89,000089.png,right,ok,tracking,2075,0.577778,2075,2075,20,20.195585,2.71856677699,-170.674929044,0
89,000089.png,center,not_published,from_left_right,,,,,0,,,,
90,000090.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
90,000090.png,right,ok,tracking,2103,0.583333,2103,2103,21,20.309351,2.70199599413,-168.297047732,0
90,000090.png,center,not_published,from_left_right,,,,,0,,,,
91,000091.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
91,000091.png,right,ok,tracking,2089,0.577778,2089,2089,21,20.291322,2.70461018878,-168.266368733,0
91,000091.png,center,not_published,from_left_right,,,,,0,,,,
92,000092.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
92,000092.png,right,ok,tracking,2103,0.583333,2103,2103,20,20.406442,2.68799381687,-165.851030113,0
92,000092.png,center,not_published,from_left_right,,,,,0,,,,
93,000093.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
93,000093.png,right,ok,tracking,2104,0.577778,2104,2104,20,20.319113,2.70058225529,-167.94260139,0
93,000093.png,center,not_published,from_left_right,,,,,0,,,,
94,000094.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
94,000094.png,right,ok,tracking,2070,0.577778,2070,2070,21,20.366971,2.69367074529,-164.717629184,0
94,000094.png,center,not_published,from_left_right,,,,,0,,,,
95,000095.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
95,000095.png,right,ok,tracking,2078,0.577778,2078,2078,21,20.363095,2.69422940278,-164.479482418,0
95,000095.png,center,not_published,from_left_right,,,,,0,,,,
96,000096.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
96,000096.png,right,ok,tracking,2075,0.577778,2075,2075,21,20.273990,2.70712742317,-167.05489232,0
96,000096.png,center,not_published,from_left_right,,,,,0,,,,
97,000097.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
97,000097.png,right,ok,tracking,2061,0.577778,2061,2061,21,20.313463,2.70140034342,-164.359955505,0
97,000097.png,center,not_published,from_left_right,,,,,0,,,,
98,000098.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
98,000098.png,right,ok,tracking,2055,0.577778,2055,2055,21,20.356300,2.69520911586,-162.877982618,0
98,000098.png,center,not_published,from_left_right,,,,,0,,,,
99,000099.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
99,000099.png,right,ok,tracking,2051,0.572222,2051,2051,21,20.352982,2.69568786865,-162.986332265,0
99,000099.png,center,not_published,from_left_right,,,,,0,,,,
100,000100.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
100,000100.png,right,ok,tracking,2049,0.572222,2049,2049,21,20.229062,2.71367213153,-165.910939216,0
100,000100.png,center,not_published,from_left_right,,,,,0,,,,
101,000101.png,left,insufficient_row_coverage,init,0,0.000000,0,0,0,0.000000,0,0,6
101,000101.png,right,ok,tracking,2057,0.572222,2057,2057,21,20.180930,2.72071441929,-168.879304101,0
101,000101.png,center,not_published,from_left_right,,,,,0,,,,
