frame_index,file,side,status,roi_mode,pixels,row_coverage_ratio,vehicle_points_before_crop,vehicle_points_after_crop,fitted_lane_points,angle_deg,line_a,line_b,vehicle_x_min,vehicle_x_max,vehicle_y_min,vehicle_y_max,lost_count
50,000050.png,left,rejected_side_geometry,tracking,1406,0.150289,0,0,0,171.712316,-6.86508158538,1522.85006402,,,,,6
50,000050.png,right,ok,tracking,2469,0.664740,2469,2469,25,20.537803,2.6692512809,-160.20402469,0.351496,0.453922,-1.170087,-0.596869,0
50,000050.png,center,not_published,from_left_right,,,0,,,,
51,000051.png,left,ok,init,4457,0.497110,4457,4457,25,153.904951,-2.04170049446,584.326416447,0.205099,0.338640,-0.557700,-0.371490,0
51,000051.png,right,ok,tracking,2467,0.664740,2467,2467,25,20.492954,2.67562446111,-161.912331078,0.351496,0.453922,-1.170087,-0.596869,0
51,000051.png,center,ok,from_left_right,,,25,,,,
52,000052.png,left,rejected_side_geometry,tracking,1109,0.127168,0,0,0,169.247185,-5.26573978598,1211.74694854,,,,,6
52,000052.png,right,ok,tracking,2461,0.664740,2461,2461,25,20.511573,2.67297544348,-161.274103013,0.351496,0.453922,-1.170087,-0.596869,0
52,000052.png,center,not_published,from_left_right,,,0,,,,
53,000053.png,left,ok,init,4419,0.497110,4419,4419,25,154.374881,-2.08481488427,594.733901651,0.205099,0.338640,-0.557700,-0.371490,0
53,000053.png,right,ok,tracking,2465,0.664740,2465,2465,25,20.534047,2.66978405865,-160.428881323,0.351496,0.453922,-1.170087,-0.596869,0
53,000053.png,center,ok,from_left_right,,,25,,,,
54,000054.png,left,rejected_side_geometry,tracking,1129,0.127168,0,0,0,168.430362,-4.88476023991,1136.13054726,,,,,6
54,000054.png,right,ok,tracking,2469,0.664740,2469,2469,25,20.541004,2.66879743979,-160.116963597,0.351496,0.453922,-1.170087,-0.596869,0
54,000054.png,center,not_published,from_left_right,,,0,,,,
55,000055.png,left,ok,init,4670,0.491329,4670,4670,25,153.924077,-2.04342698657,585.004137051,0.205652,0.338640,-0.557700,-0.371490,0
55,000055.png,right,ok,tracking,2463,0.664740,2463,2463,25,20.515336,2.67244057525,-161.147191635,0.351496,0.453922,-1.170087,-0.596869,0
55,000055.png,center,ok,from_left_right,,,25,,,,
56,000056.png,left,rejected_side_geometry,tracking,959,0.127168,0,0,0,170.598866,-6.03976853848,1366.51672514,,,,,6
56,000056.png,right,ok,tracking,2470,0.664740,2470,2470,25,20.511437,2.67299485416,-161.186520222,0.351496,0.453922,-1.170087,-0.596869,0
56,000056.png,center,not_published,from_left_right,,,0,,,,
57,000057.png,left,ok,init,4422,0.497110,4422,4422,25,154.460193,-2.09280050382,596.60943438,0.205099,0.338640,-0.557700,-0.371490,0
57,000057.png,right,ok,tracking,2467,0.664740,2467,2467,25,20.497062,2.67503968169,-161.710011282,0.351496,0.453922,-1.170087,-0.596869,0
57,000057.png,center,ok,from_left_right,,,25,,,,
58,000058.png,left,rejected_side_geometry,tracking,999,0.121387,0,0,0,170.517105,-5.98674318995,1357.39040783,,,,,6
58,000058.png,right,ok,tracking,2468,0.664740,2468,2468,25,20.537046,2.66935871728,-160.236449449,0.351496,0.453922,-1.170087,-0.596869,0
58,000058.png,center,not_published,from_left_right,,,0,,,,
59,000059.png,left,ok,init,4598,0.497110,4598,4598,25,154.058575,-2.05563495779,587.85705047,0.205099,0.338640,-0.557700,-0.371490,0
59,000059.png,right,ok,tracking,2469,0.664740,2469,2469,25,20.535593,2.66956479066,-160.189328573,0.351496,0.453922,-1.170087,-0.596869,0
59,000059.png,center,ok,from_left_right,,,25,,,,
60,000060.png,left,rejected_side_geometry,tracking,1047,0.127168,0,0,0,169.017929,-5.15316258054,1189.2065945,,,,,6
60,000060.png,right,ok,tracking,2465,0.664740,2465,2465,25,20.503178,2.67416926197,-161.552884904,0.351496,0.453922,-1.170087,-0.596869,0
60,000060.png,center,not_published,from_left_right,,,0,,,,
61,000061.png,left,ok,init,4492,0.491329,4492,4492,25,153.831272,-2.0350714555,582.917084781,0.205652,0.338640,-0.557700,-0.371490,0
61,000061.png,right,ok,tracking,2456,0.664740,2456,2456,25,20.467439,2.67926219043,-162.840059404,0.351496,0.453922,-1.170087,-0.596869,0
61,000061.png,center,ok,from_left_right,,,25,,,,
62,000062.png,left,ok,tracking,1239,0.127168,1239,1239,25,167.183438,-4.39563463407,1037.08825071,0.263789,0.317378,-0.511274,-0.424509,0
62,000062.png,right,ok,tracking,2461,0.664740,2461,2461,25,20.467231,2.67929189233,-162.86237906,0.351496,0.453922,-1.170087,-0.596869,0
62,000062.png,center,ok,from_left_right,,,25,,,,
63,000063.png,left,rejected_side_geometry,tracking,1529,0.150289,0,0,0,170.858562,-6.21442584907,1390.92620392,,,,,6
63,000063.png,right,ok,tracking,2462,0.664740,2462,2462,25,20.523604,2.67126614339,-160.810839153,0.351496,0.453922,-1.170087,-0.596869,0
63,000063.png,center,not_published,from_left_right,,,0,,,,
64,000064.png,left,insufficient_row_coverage,init,9,0.017341,0,0,0,0.000000,0,0,,,,,7
64,000064.png,right,ok,tracking,2473,0.664740,2473,2473,25,20.526460,2.67086070246,-160.680793097,0.351496,0.453922,-1.170087,-0.596869,0
64,000064.png,center,not_published,from_left_right,,,0,,,,
65,000065.png,left,insufficient_row_coverage,init,6,0.011561,0,0,0,0.000000,0,0,,,,,8
65,000065.png,right,ok,tracking,2455,0.664740,2455,2455,25,20.448950,2.68190368916,-163.56274658,0.351496,0.453922,-1.170087,-0.596869,0
65,000065.png,center,not_published,from_left_right,,,0,,,,
66,000066.png,left,ok,init,4611,0.491329,4611,4611,25,154.125747,-2.06177613894,589.333766632,0.205652,0.338640,-0.557700,-0.371490,0
66,000066.png,right,ok,tracking,2491,0.664740,2491,2491,25,20.535857,2.66952733223,-160.35390673,0.351496,0.453922,-1.170087,-0.596869,0
66,000066.png,center,ok,from_left_right,,,25,,,,
67,000067.png,left,rejected_side_geometry,tracking,1149,0.121387,0,0,0,167.588112,-4.54376537831,1067.84751472,,,,,6
67,000067.png,right,ok,tracking,2473,0.664740,2473,2473,25,20.534166,2.66976722577,-160.37425307,0.351496,0.453922,-1.170087,-0.596869,0
67,000067.png,center,not_published,from_left_right,,,0,,,,
68,000068.png,left,ok,init,4350,0.497110,4350,4350,25,153.828177,-2.03479372234,583.024082224,0.205099,0.334957,-0.551481,-0.371490,0
68,000068.png,right,ok,tracking,2464,0.664740,2464,2464,25,20.537301,2.66932249172,-160.300948456,0.351496,0.453922,-1.170087,-0.596869,0
68,000068.png,center,ok,from_left_right,,,25,,,,
69,000069.png,left,rejected_side_geometry,tracking,1151,0.127168,0,0,0,167.895732,-4.66288868145,1090.86628092,,,,,6
69,000069.png,right,ok,tracking,2448,0.664740,2448,2448,25,20.481203,2.67729873653,-162.339699901,0.351496,0.453922,-1.170087,-0.596869,0
69,000069.png,center,not_published,from_left_right,,,0,,,,
70,000070.png,left,ok,init,4532,0.497110,4532,4532,25,153.851901,-2.03692396887,583.425936523,0.205099,0.338640,-0.557700,-0.371490,0
70,000070.png,right,ok,tracking,2475,0.664740,2475,2475,25,20.520420,2.67171840677,-160.96330158,0.351496,0.453922,-1.170087,-0.596869,0
70,000070.png,center,ok,from_left_right,,,25,,,,
71,000071.png,left,rejected_side_geometry,tracking,974,0.127168,0,0,0,170.763622,-6.14944494137,1388.16698731,,,,,6
71,000071.png,right,ok,tracking,2449,0.664740,2449,2449,25,20.477015,2.67789597424,-162.466040367,0.351496,0.453922,-1.170087,-0.596869,0
71,000071.png,center,not_published,from_left_right,,,0,,,,
72,000072.png,left,ok,init,4634,0.491329,4634,4634,25,153.678235,-2.02141265286,579.73464323,0.205652,0.338640,-0.557700,-0.371490,0
72,000072.png,right,ok,tracking,2458,0.664740,2458,2458,25,20.512477,2.67284691221,-161.24142579,0.351496,0.453922,-1.170087,-0.596869,0
72,000072.png,center,ok,from_left_right,,,25,,,,
73,000073.png,left,ok,tracking,1262,0.127168,1262,1262,25,166.877166,-4.2894992035,1015.54616504,0.263789,0.315931,-0.509747,-0.424509,0
73,000073.png,right,ok,tracking,2473,0.664740,2473,2473,25,20.518254,2.67202596315,-161.054302414,0.351496,0.453922,-1.170087,-0.596869,0
73,000073.png,center,ok,from_left_right,,,25,,,,
